epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9829.2,0.54596,0.57371,1.05839,0.71883,0.83481,0.73955,0.70365,0.32771,0.28141,0.88256,0.00726694,0.00726694,0.00726694
43,10042.7,0.544,0.56346,1.05944,0.72317,0.78976,0.74089,0.70622,0.3278,0.28554,0.88121,0.00720028,0.00720028,0.00720028
44,10255.8,0.54324,0.56442,1.05545,0.72814,0.84537,0.74379,0.70663,0.32445,0.27678,0.88155,0.00713362,0.00713362,0.00713362
45,10468.5,0.54182,0.56048,1.0549,0.72837,0.84696,0.74966,0.71185,0.32266,0.27305,0.87743,0.00706696,0.00706696,0.00706696
46,10682.8,0.53515,0.54632,1.04921,0.73826,0.84444,0.75302,0.71754,0.32208,0.26886,0.87586,0.0070003,0.0070003,0.0070003
47,10896.3,0.53319,0.54582,1.04841,0.73263,0.84614,0.75197,0.71731,0.31842,0.26663,0.87265,0.00693364,0.00693364,0.00693364
48,11110.2,0.5282,0.53894,1.04688,0.71884,0.83631,0.75245,0.71646,0.31515,0.26458,0.87446,0.00686698,0.00686698,0.00686698
49,11324.4,0.53439,0.54028,1.05145,0.71855,0.81678,0.7545,0.71964,0.31476,0.2624,0.87595,0.00680032,0.00680032,0.00680032
50,11537.3,0.5283,0.53522,1.04894,0.71953,0.85659,0.74694,0.71281,0.31454,0.26232,0.8759,0.00673366,0.00673366,0.00673366
51,11750.5,0.51888,0.52026,1.04308,0.71195,0.84167,0.76579,0.73375,0.31406,0.2654,0.87644,0.006667,0.006667,0.006667
52,11963.9,0.53022,0.52863,1.04676,0.71312,0.85925,0.74619,0.71549,0.31385,0.2604,0.87108,0.00660034,0.00660034,0.00660034
53,12177.4,0.52548,0.52976,1.04582,0.7263,0.83475,0.75481,0.72197,0.3156,0.26177,0.8742,0.00653368,0.00653368,0.00653368
54,12390.6,0.52474,0.51788,1.04441,0.72969,0.83424,0.75648,0.72353,0.31373,0.25938,0.87333,0.00646702,0.00646702,0.00646702
55,12604.1,0.52305,0.5184,1.04157,0.74038,0.82694,0.77891,0.74323,0.31344,0.25882,0.87286,0.00640036,0.00640036,0.00640036
56,12818.1,0.51406,0.50965,1.03699,0.73809,0.85384,0.77789,0.74298,0.31392,0.2561,0.87471,0.0063337,0.0063337,0.0063337
57,13031.8,0.51593,0.5064,1.03738,0.72745,0.85571,0.75809,0.72252,0.31293,0.25501,0.87266,0.00626704,0.00626704,0.00626704
58,13245.7,0.51362,0.50619,1.03833,0.72952,0.85579,0.7743,0.73889,0.31185,0.25206,0.8723,0.00620038,0.00620038,0.00620038
59,13458.1,0.51448,0.50352,1.03791,0.72872,0.85662,0.77933,0.74332,0.31062,0.25,0.8721,0.00613372,0.00613372,0.00613372
60,13672.2,0.51292,0.50029,1.03139,0.73225,0.85516,0.76144,0.72635,0.30862,0.24611,0.8711,0.00606706,0.00606706,0.00606706
61,13885.6,0.50944,0.49582,1.03259,0.72639,0.85521,0.75073,0.71656,0.30876,0.24608,0.87225,0.0060004,0.0060004,0.0060004
